Año,Estado,Promedio diario de residuos sólidos urbanos recolectados,pea,grado_escolar,idh,PIB,Poblacion,tot_viv_hab,Con servicios de recoleccion residuos solidos urbanos,Sin servicios de recoleccion residuos solidos urbanos,Servicios de Recoleccion:No especificado,Cantidad promedio diaria de residuos solidos urbanos recolectados,Sistema de recoleccion casa por casa,Sistema de recoleccion En un punto de recoleccion,Sistema de recoleccion Sistema de contenedores,Total Vehiculos,Vehículo con compactador,Vehículo con caja abierta,Vehiculos: Otro,Municipios que operan centros de acopio,Cantidad Centros de acopio,Cantidad promedio diaria de materiales reciclables recibidos (kilogramos),Prom Diario Mat Rec recibidos:Papel y cartón Kg,Prom Diario Mat Rec recibidos:PET Kg,Prom Diario Mat Rec recibidos:Otros plásticos Kg,Prom Diario Mat Rec recibidos:Aluminio Kg,"Prom Diario Mat Rec recibidos:Fierro, lámina, acero Kg","Prom Diario Mat Rec recibidos:Cobre, bronce, plomo Kg",Prom Diario Mat Rec recibidos:Vidrio Kg,Prom Diario Mat Rec recibidos:Eléctricos y electrónicos Kg,Prom Diario Mat Rec recibidos: Pilas y baterías Kg,Prom Diario Mat Rec recibidos:Llantas Kg,Prom Diario Mat Rec recibidos:Otro Kg,Cantidad promedio diaria de residuos recolectados de manera selectiva,Destino: Estación de transferencia Orgánicos,Destino: Estación de transferencia Inorgánicos,Destino: Planta de tratamiento Orgánicos,Destino: Planta de tratamiento Inorgánicos,Destino: Venta o donación Orgánicos,Destino: Venta o donación Inorgánicos,Destino: Sitio de disposición final Orgánicos,Destino: Sitio de disposición final Inorgánicos,Destino: Otro destino Orgánicos,Destino: Otro destino Inorgánicos,Destino: No especificado,Municipios o demarcaciones territoriales que envían residuos a estaciones de  transferencia,Estaciones de transferencia,Funcion Est transf: Sólo trasvase,Funcion Est transf: Selección o separación,Funcion Est transf: Compactación,Funcion Est transf: Almacenamiento temporal,Funcion Est transf: Trituración,Funcion Est transf: Otra,Estaciones de transferencia con separación de residuos,Cantidad promedio diaria de materiales clasificados (kilogramos),Prom Dia Mat Clas:Papel y cartón Kg,Prom Dia Mat Clas:PET Kg,Prom Dia Mat Clas:Otros plásticos Kg,Prom Dia Mat Clas:Aluminio Kg,"Prom Dia Mat Clas:Fierro, lámina, acero Kg","Prom Dia Mat Clas:Cobre, bronce, plomo Kg",Prom Dia Mat Clas:Vidrio Kg,Prom Dia Mat Clas:Eléctricos y electrónicos Kg,Prom Dia Mat Clas:Materia orgánica Kg,Prom Dia Mat Clas:Otro material Kg,Régimen de gestión: Sector público_x,Régimen de gestión: Sector privado_x,Régimen de gestión: Sector social_x,Régimen de gestión: Mixto_x,Municipios o demarcaciones territoriales que envían residuos a plantas de tratamiento,Cantidad Plantas de tratamiento,Procesos Planta Trat: Separación,Proceso Planta Trat: Trituración,Proceso Planta Trat: Compactación,Proceso Planta Trat: Composteo,Proceso Planta Trat: Digestión anaerobio,Proceso Planta Trat: Otro proceso,Cantidad promedio diaria de residuos enviados a planta de tratamiento,Cantidad promedio diaria de materiales recuperados en planta de tratamiento,Tipo de material Recuperado Plant Trat: Papel y cartón,Tipo de material Recuperado Plant Trat: PET,Tipo de material Recuperado Plant Trat: Otros plásticos,Tipo de material Recuperado Plant Trat: Aluminio,"Tipo de material Recuperado Plant Trat: Fierro, lámina, acero","Tipo de material Recuperado Plant Trat: Cobre, bronce, plomo",Tipo de material Recuperado Plant Trat: Vidrio,Tipo de material Recuperado Plant Trat: Eléctricos y electrónicos,Tipo de material Recuperado Plant Trat: Materia orgánica,Tipo de material Recuperado Plant Trat: Otro material,Régimen de gestión: Sector público_y,Régimen de gestión: Sector privado_y,Régimen de gestión: Sector social_y,Régimen de gestión: Mixto_y,Cantidad Sitios de disposición final,Sit Dis Final Tipo de propiedad del predio: Municipal,Sit Dis Final Tipo de propiedad del predio: Estatal,Sit Dis Final Tipo de propiedad del predio: Federal,Sit Dis Final Tipo de propiedad del predio: Privada,Sit Dis Final Tipo de propiedad del predio: Social,Sit Dis Final Tipo de propiedad del predio: No especificado,Régimen de gestión: Sector público,Régimen de gestión: Sector privado,Régimen de gestión: Sector social,Régimen de gestión: Mixto,Municipios o demarcaciones territoriales con programas de difusión,Tema de difusión: Reglamento del servicio público de limpia,Tema de difusión: Rutas y horarios de recolección,Tema de difusión: Educación ambiental,Tema de difusión: Separación de residuos,"Tema de difusión: Reducir, reutilizar, reciclar, retornar y reparar residuos",Tema de difusión: Manejo de residuos COVID,Tema de difusión: Otro
2020,Michoacán De Ocampo,3608999,2296059,8.6,0.717,397577.179,4748846.00,1285469,113,0,0,3608999,2107041.7,1099734,402223.3,870,209,649,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57770,0,0,4000,2000,0,5240,22700,23830,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,3,1,1,2,0,1,118915,25260,590,1380,570,155,365,0,230,50,21000,920,4,0,0,0,119,78,0,1,29,5,6,99,5,15,0,20,6,14,9,9,12,10,0
2020,Morelos,1444431,1017989,9.84,0.7224,179752.616,1971520.00,560941,36,0,0,1444431,1175433.54,165487,103510.46,270,140,122,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,823,0,0,0,0,0,200,0,623,0,0,0,5,4,1,1,0,2,0,0,1,200,50,100,0,20,0,0,30,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,4,2,0,10,4,0,0,7,2,5,4,4,4,7,0
2020,Nayarit,1801056,609556,9.73,0.737611111,107339.93,1235456.00,361596,20,0,0,1801056,1210030.7,497854,93171.3,152,121,31,0,1,1,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18,0,4,2,8,0,23,1,8,0,1,1,1,0,0,0,0,0
2020,Nuevo León,5156278,2862003,10.74,0.754576923,1268066.13,5784442.00,1655690,51,0,0,5156278,4861021,106013.8,189243.2,431,374,54,3,3,5,273,96,42,4,2,1,0,128,0,0,0,0,2400,0,0,0,0,0,0,0,0,0,0,2400,4,3,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,2,2,0,0,0,0,0,620000,20092,6406,4037,2208,560,2049,159,4665,8,0,0,1,1,0,0,43,39,1,0,3,0,0,39,3,1,0,7,5,6,4,4,4,4,0
2020,Oaxaca,2194257,1825593,8.12,0.642741935,237528.104,4132148.00,1126544,437,133,0,2194257,1492071.83,592106.77,110078.4,842,324,449,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190374,19500,0,0,0,0,12820,20123,122136,15795,0,0,7,8,4,4,0,3,0,1,4,3387,102,73,29,5,11,0,2144,2,0,1021,8,0,0,0,1,1,1,1,1,1,0,0,40000,10048,293,532,244,29,255,29,666,0,8000,0,1,0,0,0,408,363,0,3,17,24,1,401,3,4,0,130,40,94,57,98,76,64,0
2020,Puebla,4123024,3198118,9.16,0.657976852,530957.543,6583278.00,1713865,211,6,0,4123024,2893882.07,825626.2,403515.73,545,389,124,32,1,1,930,422,71,54,5,29,0,277,0,0,0,72,25346,0,3225,3000,0,13005,6116,0,0,0,0,0,3,2,0,2,0,1,0,0,2,52,8,10,15,4,3,3,4,5,0,0,2,0,0,0,3,3,2,2,1,1,0,0,424280,113554,616,785,1012,222,2773,5,66,4,14264,93807,0,1,0,2,99,74,0,1,17,7,0,84,12,2,1,51,20,38,18,31,25,31,2
2020,Querétaro,1990530,1233080,10.48,0.714,365964.746,2368467.00,668771,18,0,0,1990530,1818188.7,106381.5,65959.8,283,201,69,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36500,0,0,0,0,0,4000,10000,22100,400,0,0,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,1,0,0,0,158022,4883,454,1373,945,159,1364,1,0,1,0,586,0,1,0,0,12,11,0,0,1,0,0,9,3,0,0,7,4,6,2,4,3,5,1
2020,Quintana Roo,2247203,1006817,10.24,0.7407,222079.057,1857985.00,575635,11,0,0,2247203,1725576.3,210613.8,311012.9,168,145,22,1,2,20,1714,346,68,70,7,46,7,424,216,1,252,277,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,1,0,1,1,0,0,895628,8607,2502,2006,1554,324,532,113,424,33,8,1111,0,1,0,0,62,16,1,0,0,45,0,58,4,0,0,6,3,4,4,5,4,4,1
2020,San Luis Potosí,2020657,1361868,9.61,0.686949153,341564.629,2822255.00,775016,57,1,0,2020657,1637267,182594,200796,714,165,483,66,2,2,16,4,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,45,0,0,6,2,8,58,2,1,0,14,6,9,6,7,8,5,4
2020,Sinaloa,3223980,1475694,10.22,0.734736842,369694.144,3026943.00,855271,18,0,0,3223980,3090413.8,76749.28,56816.92,306,262,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,0,0,2,2,1,47,3,0,0,0,0,0,0,0,0,0,0
2020,Sonora,2407784,1448628,10.4,0.72590411,550905.96,2944840.00,876826,72,0,0,2407784,2118720.6,99987.45,189075.95,332,262,65,5,2,3,118,36,28,8,3,0,0,42,0,1,0,0,15700,0,8790,0,0,0,0,6910,0,0,0,0,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,86,0,0,12,3,9,104,6,0,0,7,4,7,3,1,4,5,0
2020,Tabasco,1638495,1172514,9.69,0.729111111,464414.365,2402598.00,669414,17,0,0,1638495,1482658.75,126650.5,29185.75,305,248,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,1,105,50,30,0,0,0,0,25,0,0,0,1,0,1,0,2,2,2,1,0,1,0,1,180000,40000,1000,1000,1000,0,0,0,0,0,37000,0,0,1,0,1,18,14,0,0,4,0,0,16,2,0,0,6,2,4,4,3,4,3,0
2020,Tamaulipas,3113709,1737175,10.09,0.715636364,473823.495,3527735.00,1069380,41,2,0,3113709,2201056.23,415550,497102.77,418,323,51,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,0,0,0,0,0,1471,0,0,0,0,0,5,6,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,0,6000,864,864,0,0,0,0,0,0,0,0,0,0,1,0,0,40,33,1,0,5,0,1,37,3,0,0,5,3,5,2,3,3,4,0
2020,Tlaxcala,1199608,638352,9.83,0.724416667,91086.84,1342977.00,341656,59,0,1,1199608,899444.8,267898.65,32264.55,184,152,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,4,0,0,0,18,4,7,9,10,9,12,1
2020,Veracruz De Ignacio De La Llave,5855142,3851221,8.75,0.678535211,738747.441,8062579.00,2391262,203,9,0,5855142,3567842.51,1826723.88,460575.61,899,609,254,36,5,7,754,0,10,0,0,0,0,0,14,19,711,0,163200,0,0,52727,24180,970,300,8500,75523,0,0,1000,5,6,2,2,2,3,2,0,2,1400,700,70,200,18,240,2,90,30,0,50,4,2,0,0,5,8,1,2,0,6,0,2,76766,38276,176,38,0,21,121,0,85,0,37828,7,2,6,0,0,145,98,2,1,36,1,7,133,12,0,0,66,17,47,32,44,42,39,5
2020,Yucatán,1709993,1160284,9.59,0.685401869,242552.378,2320898.00,658351,106,0,0,1709993,1612938.1,83473.65,13581.25,319,103,185,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,25644,25644,0,0,0,0,0,0,0,0,0,25644,0,1,0,0,149,99,0,0,3,46,1,148,1,0,0,14,6,8,5,6,7,7,0
2020,Zacatecas,1310647,701031,9.25,0.699706897,145444.441,1622138.00,442835,57,1,0,1310647,854706.4,326724.4,129216.2,249,145,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,500,0,0,300,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,71,0,0,7,31,2,83,0,28,0,4,1,2,0,2,1,2,0
